#MCPC Serial Number:9
#firmware=5.20
#mfgdate=16/6/2
#smpslop=285 
#smpoffs=411 
#satslop=292 
#satoffs=405 
#cal_tmp=22.9 
#coincid=3350 
#cs_diff=25.0
#prsslop=317 
#prsoffs=135 
#anlgcal=128
#
#YY/MM/DD	HR:MN:SC	aveconc	concent	rawconc	cnt_sec	condtmp	satttmp	satbtmp	optctmp	inlttmp	smpflow	satflow	pressur	condpwr	sattpwr	satbpwr	optcpwr	satfpwr	fillcnt	err_num
17/12/08	13:52:39	5970.60	5532.00	5443.00	33456	20.5	45.5	45.4	30.7	29.3	368	372	976	250	56	127	0	46	616	256
17/12/08	13:52:40	5826.00	5420.00	5334.00	32765	20.5	45.6	45.4	30.7	29.3	369	372	976	250	28	127	0	46	618	256
17/12/08	13:52:41	5672.80	5358.00	5274.00	32449	20.5	45.6	45.5	30.7	29.3	368	372	976	250	28	55	0	46	620	256
17/12/08	13:52:42	5533.60	5252.00	5172.00	31784	20.5	45.6	45.5	30.7	29.4	368	373	976	250	28	55	0	46	622	256
17/12/08	13:52:43	5406.20	5166.00	5088.00	31261	20.5	45.6	45.5	30.7	29.4	368	373	976	250	28	55	0	46	624	256
17/12/08	13:52:44	5289.10	4967.00	4895.00	30076	20.5	45.6	45.6	30.7	29.4	368	373	977	250	28	27	0	46	626	256
17/12/08	13:52:45	5169.10	4785.00	4718.00	28976	20.6	45.6	45.6	30.7	29.4	368	373	976	250	56	55	25	46	628	256
17/12/08	13:52:46	5043.90	4741.00	4675.00	28717	20.6	45.6	45.6	30.7	29.5	368	373	976	250	56	55	25	46	630	256
17/12/08	13:52:47	4924.80	4678.00	4614.00	28336	20.6	45.6	45.6	30.7	29.5	368	373	976	250	56	55	25	46	632	256
17/12/08	13:52:48	4822.90	4721.00	4656.00	28612	20.6	45.7	45.7	30.7	29.5	368	373	976	250	28	27	25	46	634	256
17/12/08	13:52:49	4749.00	4673.00	4609.00	28306	20.6	45.7	45.7	30.7	29.5	368	374	976	250	28	27	25	46	636	256
17/12/08	13:52:50	4686.00	4449.00	4391.00	26965	20.6	45.7	45.7	30.7	29.5	368	373	976	250	28	27	25	46	638	256
17/12/08	13:52:51	4617.00	4387.00	4330.00	26568	20.6	45.7	45.7	30.7	29.6	367	373	977	250	28	27	25	46	640	256
17/12/08	13:52:52	4546.50	4327.00	4272.00	26170	20.7	45.7	45.7	30.7	29.6	368	373	977	250	56	55	50	45	642	256
17/12/08	13:52:53	4463.70	4244.00	4191.00	25843	20.7	45.7	45.7	30.8	29.6	371	369	976	250	56	55	25	45	644	256
17/12/08	13:52:54	4380.40	4317.00	4262.00	26413	20.7	45.8	45.7	30.8	29.6	371	370	976	250	28	55	25	45	646	256
17/12/08	13:52:55	4338.30	4384.00	4328.00	26847	20.7	45.8	45.7	30.8	29.7	372	370	976	250	28	55	25	45	648	256
17/12/08	13:52:56	4329.60	4365.00	4309.00	26778	20.7	45.8	45.7	30.8	29.7	372	370	976	250	28	55	25	45	650	256
17/12/08	13:52:57	4327.60	4329.00	4274.00	26542	20.8	45.8	45.7	30.8	29.7	372	370	976	250	56	127	50	45	652	256
17/12/08	13:52:58	4328.00	4246.00	4193.00	26013	20.7	45.8	45.7	30.9	29.7	372	370	976	250	28	55	0	45	654	256
17/12/08	13:52:59	4327.10	4306.00	4251.00	26366	20.8	45.8	45.7	30.9	29.8	372	370	976	250	56	127	25	45	656	256
17/12/08	13:53:00	4306.20	4246.00	4193.00	26019	20.8	45.8	45.7	30.9	29.8	372	370	976	250	56	127	25	45	658	256
17/12/08	13:53:01	4272.20	4163.00	4112.00	25480	20.8	45.8	45.7	30.9	29.8	371	370	977	250	56	127	25	45	660	256
17/12/08	13:53:02	4232.80	4137.00	4087.00	25283	20.8	45.9	45.7	30.9	29.8	371	371	977	250	28	127	25	45	662	256
17/12/08	13:53:03	4205.50	4151.00	4100.00	25376	20.8	45.9	45.8	30.9	29.8	371	370	976	250	28	59	25	45	664	256
17/12/08	13:53:04	4162.50	4061.00	4012.00	24824	20.9	45.9	45.8	30.9	29.8	371	370	976	250	56	129	50	45	666	256
17/12/08	13:53:05	4127.50	4071.00	4022.00	24913	20.9	45.9	45.9	31.0	29.8	371	370	976	250	56	61	25	45	669	256
17/12/08	13:53:06	4103.20	4083.00	4034.00	24956	20.9	46.0	45.9	31.0	29.9	370	370	976	250	28	61	25	45	671	256
17/12/08	13:53:07	4078.20	4025.00	3977.00	24565	20.9	46.0	45.9	31.0	29.9	370	370	976	250	28	61	25	45	673	256
17/12/08	13:53:08	4026.40	3892.00	3848.00	23773	20.9	46.0	46.0	31.0	29.9	370	371	976	250	28	30	25	45	675	256
17/12/08	13:53:09	3977.60	3817.00	3775.00	23331	20.9	46.0	46.0	31.0	29.9	370	370	976	250	28	30	25	45	677	256
17/12/08	13:53:10	3917.60	3771.00	3730.00	23045	20.9	46.0	46.0	31.1	29.9	370	371	976	250	28	30	0	45	679	256
17/12/08	13:53:11	3847.40	3732.00	3691.00	22799	21.0	46.0	46.0	31.1	29.9	370	371	977	250	56	61	25	45	681	256
17/12/08	13:53:12	3789.80	3737.00	3696.00	22824	21.0	46.0	46.1	31.1	30.0	370	370	977	250	56	30	25	45	683	256
17/12/08	13:53:13	3763.00	3758.00	3716.00	22958	21.0	46.0	46.1	31.1	30.0	370	371	976	250	56	30	25	45	685	256
17/12/08	13:53:14	3747.60	3740.00	3699.00	22860	21.0	46.1	46.1	31.1	30.0	370	371	977	250	28	30	25	45	687	256
17/12/08	13:53:15	3732.40	3695.00	3655.00	22604	21.0	46.1	46.1	31.2	30.0	370	371	976	250	28	30	0	45	689	256
17/12/08	13:53:16	3720.40	3672.00	3632.00	22446	21.0	46.1	46.1	31.2	30.1	370	371	976	250	28	30	0	45	691	256
17/12/08	13:53:17	3706.60	3668.00	3628.00	22427	21.1	46.1	46.1	31.2	30.1	370	371	976	250	56	61	25	45	693	256
17/12/08	13:53:18	3677.20	3611.00	3573.00	22071	21.1	46.1	46.1	31.2	30.1	370	371	976	250	56	61	25	45	695	256
17/12/08	13:53:19	3630.40	3506.00	3470.00	21426	21.1	46.1	46.1	31.2	30.1	370	371	976	250	56	61	25	45	697	256
17/12/08	13:53:20	3600.80	3547.00	3510.00	21679	21.1	46.2	46.1	31.3	30.1	370	371	976	250	28	61	0	45	699	256
17/12/08	13:53:21	3573.60	3536.00	3499.00	21603	21.1	46.2	46.1	31.3	30.1	370	371	976	250	28	61	0	45	701	256
17/12/08	13:53:22	3541.20	3506.00	3470.00	21429	21.1	46.2	46.1	31.3	30.1	371	371	976	250	28	61	0	45	703	256
17/12/08	13:53:23	3507.60	3443.00	3409.00	21091	21.1	46.2	46.1	31.3	30.2	370	371	977	250	28	61	0	45	705	256
17/12/08	13:53:25	3495.60	3446.00	3411.00	21073	21.1	46.2	46.1	31.3	30.2	370	371	976	250	28	61	0	45	707	256
17/12/08	13:53:25	3472.80	3433.00	3399.00	20980	21.2	46.2	46.1	31.3	30.2	370	371	977	250	56	130	25	45	709	256
17/12/08	13:53:27	3442.80	3386.00	3353.00	20685	21.2	46.2	46.1	31.3	30.2	370	371	977	250	56	130	25	45	711	256
17/12/08	13:53:28	3409.40	3339.00	3306.00	20393	21.2	46.2	46.1	31.3	30.2	370	371	976	250	56	130	25	45	713	256
17/12/08	13:53:29	3386.60	3329.00	3297.00	20343	21.2	46.3	46.1	31.4	30.3	370	371	976	250	28	130	0	45	715	256
17/12/08	13:53:30	3351.60	3271.00	3240.00	19986	21.2	46.3	46.2	31.4	30.3	369	371	976	250	28	65	0	45	717	256
17/12/08	13:53:31	3320.60	3278.00	3247.00	20023	21.2	46.3	46.2	31.4	30.3	369	372	976	250	28	65	0	45	719	256
17/12/08	13:53:32	3292.00	3243.00	3212.00	19801	21.3	46.3	46.2	31.4	30.3	369	372	976	250	56	132	25	45	721	256
17/12/08	13:53:33	3282.60	3292.00	3260.00	20101	21.3	46.3	46.3	31.4	30.3	369	372	976	250	56	65	25	45	723	256
17/12/08	13:53:34	3261.20	3222.00	3192.00	19669	21.3	46.3	46.3	31.4	30.3	369	371	976	250	56	65	25	45	725	256
17/12/08	13:53:35	3248.40	3207.00	3177.00	19578	21.3	46.3	46.3	31.4	30.3	369	372	976	250	56	65	25	45	727	256
17/12/08	13:53:36	3229.80	3185.00	3155.00	19435	21.3	46.4	46.3	31.4	30.4	369	372	976	250	28	65	25	45	729	256
17/12/08	13:53:37	3214.40	3166.00	3136.00	19336	21.3	46.4	46.3	31.4	30.4	370	372	976	250	28	65	25	45	731	256
